Date,Speed (cup_ 130 m),Ti (cup_ 130 m),Speed (cup_ 122 m),Ti (cup_ 122 m),Direction (Vane_ 122 m),Speed (cup_ 105 m),Ti (cup_ 105 m),Speed (cup_ 87 m),Ti (cup_ 87 m),Direction (Vane_ 87 m),Speed (cup_ 80 m),Ti (cup_ 80 m),Speed (cup_ 55 m),Ti (cup_ 55 m),Speed (cup_ 38 m),Ti (cup_ 38 m),Direction (Vane_ 38 m),Speed (cup_ 30 m),Ti (cup_ 30 m),Speed (cup_ 10 m),Ti (cup_ 10 m),Direction (Vane_ 10 m),Speed (cup_ 3 m),Ti (cup_ 3 m),Direction (Vane_ 3 m),Air Density (3 m),Air Pressure (3 m),Air Temperature (3 m),Relative Humidity (3 m),Air Density (38 m),Air Pressure (38 m),Air Temperature (38 m),Relative Humidity (38 m),Air Density (87 m),Air Pressure (87 m),Air Temperature (87 m),Relative Humidity (87 m),Air Density (122 m),Air Pressure (122 m),Air Temperature (122 m),Relative Humidity (122 m),Gradient Richardson (38_ 87_ 122 m),Gradient Richardson (3_ 10_ 38_ 87_ 122 m),Gradient Richardson (3_ 10_ 38_ 87 m),Gradient Richardson (10_ 38 m),Wind Shear (38_ 122 m),Wind Veer (38_ 122 m),Wind Shear (3_ 122 m),Wind Veer (3_ 122 m),Wind Shear (3_ 87 m),Wind Veer (3_ 87 m),Wind Shear (38_ 87 m),Wind Veer (38_ 87 m),Wind Shear (10_ 87 m),Wind Veer (10_ 87 m),Wind Shear (87_ 38_ 10_ 3 m),Wind Veer (87_ 38_ 10_ 3 m),Wind Shear (130_ 105_ 80_ 55_ 30 m),Air temperature (sonic_119m),Speed (sonic_119m),Direction (sonic_119m),Turbulent Kinetic Energy (119m),Coherent TKE (119m),Monin-Obukhov Length (119m),Stability parameter z/L (119m),Air temperature (sonic_100m),Speed (sonic_100m),Direction (sonic_100m),Turbulent Kinetic Energy (100m),Coherent TKE (100m),Monin-Obukhov Length (100m),Stability parameter z/L (100m),Air temperature (sonic_74m),Speed (sonic_74m),Direction (sonic_74m),Turbulent Kinetic Energy (74m),Coherent TKE (74m),Monin-Obukhov Length (74m),Stability parameter z/L (74m),Air temperature (sonic_61m),Speed (sonic_61m),Direction (sonic_61m),Turbulent Kinetic Energy (61m),Coherent TKE (61m),Monin-Obukhov Length (61m),Stability parameter z/L (61m),Air temperature (sonic_41m),Speed (sonic_41m),Direction (sonic_41m),Turbulent Kinetic Energy (41m),Coherent TKE (41m),Monin-Obukhov Length (41m),Stability parameter z/L (41m),Air temperature (sonic_15m),Speed (sonic_15m),Direction (sonic_15m),Turbulent Kinetic Energy (15m),Coherent TKE (15m),Monin-Obukhov Length (15m),Stability parameter z/L (15m),Stability Flag (119m),Stability Flag (100m),Stability Flag (74m),Stability Flag (61m),Stability Flag (41m),Stability Flag (15m)
2013-05-01 00:00:00-06:00,1.891287,14.258867,1.805882,11.154133999999999,347.683058,1.7223509999999997,8.150513,1.8809779999999998,7.352927,333.969991,1.985334,8.597855000000001,2.411747,4.431193,2.319391,4.513422,322.125643,2.359111,6.014954,1.639625,13.866023,301.97391400000004,1.3826479999999999,17.581847,301.705184,1.038814,815.262324,0.4497519999999895,106.20051200000002,1.034577,,0.37360499999999774,103.486232,,,,106.174625,,,,105.987326,,,,0.225629,,,,,,0.38410500000000003,,0.241721,,0.415533,,0.4033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-01 00:10:00-06:00,1.6954810000000002,27.281889000000003,1.520538,25.550807,357.709495,1.378296,33.622299,1.570907,31.561487,340.381257,1.733228,21.999715,2.022622,15.254401999999999,2.011675,9.898311,308.08288500000003,2.087993,10.17501,1.513941,19.664611999999998,289.297641,1.041721,26.725596000000003,290.616018,1.038709,815.426453,0.5325480000000198,106.32741299999999,1.034562,,0.4329450000000179,103.075911,,,,106.074049,,,,105.433003,,,,0.32351199999999997,,,,,,0.592443,,0.65915,,0.663424,,0.620525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.824597,,,,,,
2013-05-01 00:20:00-06:00,1.712911,17.301389999999998,1.581366,18.667821,359.305342,1.569784,18.872156,1.667136,19.887864,345.567985,1.714163,19.082598,1.6774240000000002,20.86881,1.421057,26.665578000000004,308.81993,1.400652,22.535588,1.132808,26.463503000000003,287.822919,0.7491979999999999,,293.664983,1.037871,815.4138370000001,0.7492049999999608,105.995576,1.034035,,0.5691229999999905,102.489209,,,,106.10143899999998,,,,106.16815700000001,,,,0.406474,,,,,,0.617893,,0.7499600000000001,,0.7499359999999999,,0.6698189999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.415835,,,,,,
2013-05-01 00:30:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-01 00:40:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-01 00:50:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-01 01:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-01 01:10:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-01 01:20:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-01 01:30:00-06:00,2.390864,29.640658000000002,2.341574,33.860544,349.370781,2.3960369999999998,30.658154999999997,2.769891,34.287662,353.313467,2.92703,33.096920000000004,3.119817,26.198774,2.88453,23.19833,352.544769,3.035001,20.675696,2.387153,21.175561,353.191614,2.045927,22.499797,356.48240499999997,1.03783,815.830869,0.9000649999999837,106.22721000000001,1.034625,,0.553719000000001,103.970635,,,,107.548649,,,,107.284076,,,,-0.136081,,,,,,-0.037725,,0.015688,,0.001583,,-0.022822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.208341,,,,,,
2013-05-01 01:40:00-06:00,3.3575480000000004,4.473237999999999,3.2656169999999998,5.07239,348.262426,3.232211,5.336901,3.4545019999999997,5.84945,352.621338,3.513282,6.479798000000001,3.425763,6.956347999999999,3.037843,9.677083999999999,351.709692,3.087847,11.448553,2.438384,16.634005,350.012567,2.0296119999999997,17.071919,349.380387,1.038848,815.928698,0.6643369999999891,106.353385,1.035633,,0.31906400000002577,104.18142900000001,,,,108.16377800000001,,,,108.66216100000001,,,,-0.090495,,,,,,0.038583,,0.018605,,0.03388,,0.037334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-01 01:50:00-06:00,2.957973,7.688342,3.160755,6.819868,347.71534199999996,2.984089,17.433013,3.331943,6.703786,351.688787,3.428053,6.343579,3.2527630000000003,5.924397,2.921431,7.932158,353.087765,3.042168,9.503046000000001,2.4842459999999997,14.396504,350.98576099999997,2.037162,18.724323000000002,351.966502,1.039404,815.879972,0.5016880000000015,106.770899,1.036093,,0.1805219999999963,104.598687,,,,108.77481499999999,,,,108.758425,,,,-0.050572000000000006,,,,,,-0.0033060000000000003,,-0.028551,,0.00913,,0.003066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
