Date,Speed (cup_ 130 m),Ti (cup_ 130 m),Speed (cup_ 122 m),Ti (cup_ 122 m),Direction (Vane_ 122 m),Speed (cup_ 105 m),Ti (cup_ 105 m),Speed (cup_ 87 m),Ti (cup_ 87 m),Direction (Vane_ 87 m),Speed (cup_ 80 m),Ti (cup_ 80 m),Speed (cup_ 55 m),Ti (cup_ 55 m),Speed (cup_ 38 m),Ti (cup_ 38 m),Direction (Vane_ 38 m),Speed (cup_ 30 m),Ti (cup_ 30 m),Speed (cup_ 10 m),Ti (cup_ 10 m),Direction (Vane_ 10 m),Speed (cup_ 3 m),Ti (cup_ 3 m),Direction (Vane_ 3 m),Air Density (3 m),Air Pressure (3 m),Air Temperature (3 m),Relative Humidity (3 m),Air Density (38 m),Air Pressure (38 m),Air Temperature (38 m),Relative Humidity (38 m),Air Density (87 m),Air Pressure (87 m),Air Temperature (87 m),Relative Humidity (87 m),Air Density (122 m),Air Pressure (122 m),Air Temperature (122 m),Relative Humidity (122 m),Gradient Richardson (38_ 87_ 122 m),Gradient Richardson (3_ 10_ 38_ 87_ 122 m),Gradient Richardson (3_ 10_ 38_ 87 m),Gradient Richardson (10_ 38 m),Wind Shear (38_ 122 m),Wind Veer (38_ 122 m),Wind Shear (3_ 122 m),Wind Veer (3_ 122 m),Wind Shear (3_ 87 m),Wind Veer (3_ 87 m),Wind Shear (38_ 87 m),Wind Veer (38_ 87 m),Wind Shear (10_ 87 m),Wind Veer (10_ 87 m),Wind Shear (87_ 38_ 10_ 3 m),Wind Veer (87_ 38_ 10_ 3 m),Wind Shear (130_ 105_ 80_ 55_ 30 m),Air temperature (sonic_119m),Speed (sonic_119m),Direction (sonic_119m),Turbulent Kinetic Energy (119m),Coherent TKE (119m),Monin-Obukhov Length (119m),Stability parameter z/L (119m),Air temperature (sonic_100m),Speed (sonic_100m),Direction (sonic_100m),Turbulent Kinetic Energy (100m),Coherent TKE (100m),Monin-Obukhov Length (100m),Stability parameter z/L (100m),Air temperature (sonic_74m),Speed (sonic_74m),Direction (sonic_74m),Turbulent Kinetic Energy (74m),Coherent TKE (74m),Monin-Obukhov Length (74m),Stability parameter z/L (74m),Air temperature (sonic_61m),Speed (sonic_61m),Direction (sonic_61m),Turbulent Kinetic Energy (61m),Coherent TKE (61m),Monin-Obukhov Length (61m),Stability parameter z/L (61m),Air temperature (sonic_41m),Speed (sonic_41m),Direction (sonic_41m),Turbulent Kinetic Energy (41m),Coherent TKE (41m),Monin-Obukhov Length (41m),Stability parameter z/L (41m),Air temperature (sonic_15m),Speed (sonic_15m),Direction (sonic_15m),Turbulent Kinetic Energy (15m),Coherent TKE (15m),Monin-Obukhov Length (15m),Stability parameter z/L (15m),Stability Flag (119m),Stability Flag (100m),Stability Flag (74m),Stability Flag (61m),Stability Flag (41m),Stability Flag (15m)
2014-02-01 00:00:00-07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-01 00:10:00-07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.733649,,,,,,,,,,,,,,3.4378319999999998,,,,,,,,,,,,,,,,,,,,,0.763495,,,,,,
2014-02-01 00:20:00-07:00,2.0285290000000002,22.697838,0.0,,,,14.851909,0.0,,,,,2.145331,9.865861,1.92555,7.332696,305.44332599999996,1.726118,11.593999,1.200598,21.048061999999998,284.561378,0.0,,0.0,1.045137,806.523071,,,,,-4.188148000000012,102.88390799999999,,,,104.583332,,,,106.05528500000001,,,,0.3013,,,,,,,,,,,,,,,,,,0.050016000000000005,6.270451,18.977902,,,,,,,,,,,,,,57.032978,,,,,,,,,,,,,,,,,,,,,0.265469,Very Stable,,,,,
2014-02-01 00:30:00-07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.825066,,,,,,,,,,,,,,12.747712,,,,,,,,,,,,,,,,,,,,,0.324425,,,,,,
2014-02-01 00:40:00-07:00,2.549711,3.6150019999999996,0.0,,,,3.5870040000000003,0.0,,,,,2.177649,7.9084710000000005,1.925444,11.508656,316.86924700000003,1.815164,12.678442,1.101234,18.468906,309.74347400000005,0.0,,0.0,1.044922,806.48266,,,,,-4.289612999999974,102.818005,,,,104.47633499999999,,,,104.99864099999999,,,,0.158253,,,,,,,,,,,,,,,,,,0.007415000000000001,18.300037,6.502719,,,,,,,,,,,,,,8.330615,,,,,,,,,,,,,,,,,,,,,0.401546,Very Stable,,,,,
2014-02-01 00:50:00-07:00,2.5405830000000003,3.450875,0.0,,,,5.1134319999999995,0.0,,,,,2.471311,6.1132230000000005,2.168813,6.623027,315.112667,2.034418,7.643111,1.423142,9.284597,309.271368,0.0,,0.0,1.0453290000000002,806.5018759999999,,,,,-4.348533000000032,102.768695,,,,104.530485,,,,105.65771299999999,,,,0.24931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.341635999999998,,,,,,,,,,,,,,,,,,,,,0.293871,,,,,,
2014-02-01 01:00:00-07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9844569999999999,-3.1007759999999998,2.2890759999999997,329.64802799999995,0.087381,,,0.809157,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-01 01:10:00-07:00,1.998674,5.428287,0.0,,,,9.188302,0.0,,,,,2.14054,5.566943,1.888859,4.544449,328.527763,1.73292,4.835511,1.014242,11.634675,314.950229,0.0,,0.0,1.046049,806.617615,,,,,-4.394020000000012,103.006824,,,,104.90468,,,,105.37015900000002,,,,0.266548,,,,,,,,,,,,,,,,,,,,,,,,,,,2.146779,-3.13147,2.305466,330.162082,0.037749,,,1.062231,,,,,,,,,,,,,,,,,,,,,0.6013229999999999,,,,,,
2014-02-01 01:20:00-07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-01 01:30:00-07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
