Date,Speed (cup_ 130 m),Ti (cup_ 130 m),Direction (Vane_ 130 m),Speed (cup_ 122 m),Ti (cup_ 122 m),Direction (Vane_ 122 m),Speed (cup_ 105 m),Ti (cup_ 105 m),Direction (Vane_ 105 m),Speed (cup_ 87 m),Ti (cup_ 87 m),Direction (Vane_ 87 m),Speed (cup_ 80 m),Ti (cup_ 80 m),Direction (Vane_ 80 m),Speed (cup_ 55 m),Ti (cup_ 55 m),Direction (Vane_ 55 m),Speed (cup_ 38 m),Ti (cup_ 38 m),Direction (Vane_ 38 m),Speed (cup_ 30 m),Ti (cup_ 30 m),Direction (Vane_ 30 m),Speed (cup_ 10 m),Ti (cup_ 10 m),Direction (Vane_ 10 m),Speed (cup_ 3 m),Ti (cup_ 3 m),Direction (Vane_ 3 m),Air Density (3 m),Air Pressure (3 m),Air Temperature (3 m),Relative Humidity (3 m),Air Density (38 m),Air Pressure (38 m),Air Temperature (38 m),Relative Humidity (38 m),Air Density (87 m),Air Pressure (87 m),Air Temperature (87 m),Relative Humidity (87 m),Air Density (122 m),Air Pressure (122 m),Air Temperature (122 m),Relative Humidity (122 m),Gradient Richardson (38_ 87_ 122 m),Gradient Richardson (3_ 10_ 38_ 87_ 122 m),Gradient Richardson (3_ 10_ 38_ 87 m),Gradient Richardson (10_ 38 m),Wind Shear (38_ 122 m),Wind Veer (38_ 122 m),Wind Shear (3_ 122 m),Wind Veer (3_ 122 m),Wind Shear (3_ 87 m),Wind Veer (3_ 87 m),Wind Shear (38_ 87 m),Wind Veer (38_ 87 m),Wind Shear (10_ 87 m),Wind Veer (10_ 87 m),Wind Shear (87_ 38_ 10_ 3 m),Wind Veer (87_ 38_ 10_ 3 m),Wind Shear (130_ 105_ 80_ 55_ 30 m),Wind Veer (130_ 105_ 80_ 55_ 30 m),Air temperature (sonic_119m),Speed (sonic_119m),Cup Equivalent Ti (sonic_119m),Direction (sonic_119m),Integral Length Scale (u) (119m),Integral Length Scale (v) (119m),Integral Length Scale (w) (119m),Turbulent Kinetic Energy (119m),Coherent TKE (119m),Dissipation rate (Direct_ 119m),Monin-Obukhov Length (119m),Stability parameter z/L (119m),Air temperature (sonic_100m),Speed (sonic_100m),Cup Equivalent Ti (sonic_100m),Direction (sonic_100m),Integral Length Scale (u) (100m),Integral Length Scale (v) (100m),Integral Length Scale (w) (100m),Turbulent Kinetic Energy (100m),Coherent TKE (100m),Dissipation rate (Direct_ 100m),Monin-Obukhov Length (100m),Stability parameter z/L (100m),Air temperature (sonic_74m),Speed (sonic_74m),Cup Equivalent Ti (sonic_74m),Direction (sonic_74m),Integral Length Scale (u) (74m),Integral Length Scale (v) (74m),Integral Length Scale (w) (74m),Turbulent Kinetic Energy (74m),Coherent TKE (74m),Dissipation rate (Direct_ 74m),Monin-Obukhov Length (74m),Stability parameter z/L (74m),Air temperature (sonic_61m),Speed (sonic_61m),Cup Equivalent Ti (sonic_61m),Direction (sonic_61m),Integral Length Scale (u) (61m),Integral Length Scale (v) (61m),Integral Length Scale (w) (61m),Turbulent Kinetic Energy (61m),Coherent TKE (61m),Dissipation rate (Direct_ 61m),Monin-Obukhov Length (61m),Stability parameter z/L (61m),Air temperature (sonic_41m),Speed (sonic_41m),Cup Equivalent Ti (sonic_41m),Direction (sonic_41m),Integral Length Scale (u) (41m),Integral Length Scale (v) (41m),Integral Length Scale (w) (41m),Turbulent Kinetic Energy (41m),Coherent TKE (41m),Dissipation rate (Direct_ 41m),Monin-Obukhov Length (41m),Stability parameter z/L (41m),Air temperature (sonic_15m),Speed (sonic_15m),Cup Equivalent Ti (sonic_15m),Direction (sonic_15m),Integral Length Scale (u) (15m),Integral Length Scale (v) (15m),Integral Length Scale (w) (15m),Turbulent Kinetic Energy (15m),Coherent TKE (15m),Dissipation rate (Direct_ 15m),Monin-Obukhov Length (15m),Stability parameter z/L (15m),Stability Flag (119m),Stability Flag (100m),Stability Flag (74m),Stability Flag (61m),Stability Flag (41m),Stability Flag (15m)
2017-05-12 11:20:00-06:00,2.925534,23.079879000000002,,3.305509,20.270747,132.74108999999999,2.939853,22.853079,,3.111659,22.603410999999998,129.690906,2.866767,21.908392000000003,,2.809683,17.550366,,3.0069220000000003,21.01612,132.597902,2.9181779999999997,20.706692999999998,,2.9283509999999997,18.883012,129.810282,2.573994,24.156545,123.948434,0.969664,813.276824,19.23708399999998,44.394444,0.9698530000000001,809.966491,17.990769999999998,45.183946999999996,0.966256,805.332025,17.402837000000034,48.750811999999996,0.9641219999999999,802.021692,16.849297000000035,48.343029,-6.849289,-8.928841,-10.071321000000001,,0.081165,,,,,0.068363,,-0.059326,,-0.00155,,0.043141000000000006,,,19.644144,3.040411,20.189031,131.31919,-0.0,0.0,-0.0,0.824018,0.483274,9.300000000000001e-05,-15.551241000000001,-7.652122,17.355825,2.938862,21.489659,131.633048,-0.0,-0.0,-0.0,0.8857860000000001,0.512011,0.00011499999999999999,-34.861813,-2.868468,,,,,,,,,,,,,,,,,-0.0,0.0,-0.0,0.9237620000000001,0.53638,0.000164,-2.463873,-24.757765,19.050912,2.746053,21.420552999999998,132.299056,0.0,0.0,-0.0,0.8507450000000001,0.461764,0.000169,-11.346414999999999,-3.6134760000000004,19.236615,2.773692,21.230066,128.692694,0.0,0.0,-0.0,0.9161940000000001,0.46231700000000003,0.000139,-10.492122,-1.4296440000000001,Very Unstable,Very Unstable,,Very Unstable,Very Unstable,Very Unstable
2017-05-12 11:40:00-06:00,2.739077,35.493394,,2.915671,30.844510999999997,127.97482,2.721356,34.324141,,2.974673,32.642238,125.31660900000001,2.87277,28.958161999999998,,2.93427,25.152256,,2.966481,29.158651000000003,122.931531,2.678265,31.090282000000002,,2.747058,32.764996999999994,124.812836,2.3504389999999997,36.005501,123.126896,0.9681299999999999,813.146701,19.65328199999999,40.484564,0.9688190000000001,809.840641,18.256231000000014,41.769209000000004,0.965398,805.2121559999999,17.61760400000003,45.066511,0.9630850000000001,801.906096,17.119659000000013,44.334025,-15.004693,,-15.483659,,,,,,,0.026068,,0.048675,,0.006543000000000001,,0.016733,,,19.721659,2.899077,31.266995,127.372901,-0.0,0.0,-0.0,0.8645520000000001,0.47050600000000004,7.4e-05,-6.596537,-18.039769,17.413432999999998,2.859844,33.130625,128.305079,-0.0,-0.0,-0.0,1.017303,0.508454,8e-05,-24.004962,-4.165805000000001,,,,,,,,,,,,,,,,,-0.0,-0.0,-0.0,0.934917,0.511948,0.000101,-66.759128,-0.913733,19.126120999999998,2.8367419999999997,29.480727,122.520692,-0.0,0.0,-0.0,0.811344,0.45420299999999997,0.000117,-72.26294,-0.567372,19.272529000000002,2.7249689999999998,34.055957,121.869382,-0.0,-0.0,-0.0,0.724601,0.36985300000000004,0.000129,-32.462815,-0.462067,Very Unstable,Very Unstable,,Very Unstable,Very Unstable,Very Unstable
2017-05-12 11:50:00-06:00,2.3247150000000003,34.011538,,2.561274,33.377884,119.43491100000001,2.377675,35.337206,,2.455028,41.758637,119.711851,2.395253,38.221564,,2.4593119999999997,35.232748,,2.674466,42.979867,120.34766,2.472489,37.135125,,2.112955,65.335604,123.438946,2.000346,65.059024,122.263424,0.967197,813.08506,19.913243000000023,40.600936,0.9670340000000001,809.7824559999999,18.77277700000002,41.842949,0.963707,805.15881,18.108204999999998,45.238367,0.9614290000000001,801.8562059999999,17.601120000000037,44.796271999999995,,-15.261768,-10.003919,,,,,-0.023769,,-0.030376,,-0.012976,,-0.048404,,-0.038859,,,20.352755,2.337736,33.411559999999994,117.87314199999999,1e-06,-4e-06,6e-06,1.13175,0.659466,0.00021600000000000002,-21.219132000000002,-5.608147,18.000201,2.3222169999999998,37.927883,118.573457,1.3000000000000001e-05,-1e-06,2e-06,1.21917,0.759061,0.000218,-6.889409,-14.515032999999999,,,,,,,,,,,,,,,,,1e-06,0.0,-1e-06,1.2991,0.69085,0.00025699999999999996,-13.651125,-4.468496,19.771718,2.35434,40.06142,119.23366599999999,2e-06,1e-06,1e-06,1.226594,0.701974,0.000252,-9.097516,-4.506725,19.947433,2.083254,50.117083,120.511803,-3e-06,-1e-06,1e-06,1.2037790000000002,0.544747,0.000231,-7.037283,-2.131504,Very Unstable,Very Unstable,,Very Unstable,Very Unstable,Very Unstable
2017-05-12 12:00:00-06:00,2.36879,24.999046,,2.390987,22.724907,97.207542,2.382284,25.286739999999998,,2.48926,28.424909000000003,95.686552,2.774108,24.461002,,2.703442,32.157357,,2.65646,42.737006,95.086187,2.805767,43.09135,,2.23722,61.94646899999999,85.220883,2.032824,69.281411,82.808619,0.966929,812.86982,19.917074000000014,40.7722,0.966675,809.5682009999999,18.80383900000004,42.028775,0.9633780000000001,804.945935,18.130685000000028,45.721677,0.961023,801.644316,17.647258000000022,45.131928,,-11.62605,-5.945314,,,,,0.120999,,0.153309,,0.012251999999999999,,0.135918,,0.151333,,,20.64312,2.323553,25.432123,98.428228,-0.0,-0.0,-0.0,0.815739,0.5550619999999999,0.000306,-6.280896,-18.946343,18.247268,2.420703,26.763111,97.24937,-0.0,-0.0,-0.0,0.814605,0.564901,0.000279,-24.725006,-4.044487999999999,,,,,,,,,,,,,,,,,-0.0,0.0,-0.0,0.98546,0.649051,0.00021,-74.0611,-0.823644,19.846031,2.485391,39.944122,94.738875,-0.0,0.0,-0.0,1.354101,0.769827,0.00022999999999999998,-60.570917,-0.6768930000000001,20.09582,2.292624,54.056692000000005,86.390586,-0.0,-0.0,-0.0,1.583982,0.7135050000000001,0.0002,-3.3422949999999996,-4.487934,Very Unstable,Very Unstable,,Very Unstable,Very Unstable,Very Unstable
2017-05-12 12:10:00-06:00,2.23883,46.038123999999996,,2.164374,44.523635999999996,87.29696,2.139132,57.920763,,2.02846,50.24373,79.410628,2.390898,50.816085,,2.504099,36.815526,,2.3978990000000002,41.193452,79.220015,2.617184,34.514557,,2.305143,44.649288,77.023953,2.03766,51.668426000000004,77.981236,0.965234,812.575657,20.325105000000008,40.08853,0.964936,809.27995,19.225821999999994,41.571976,0.9615370000000001,804.6659599999999,18.586652999999956,45.076134,0.959242,801.370253,18.08729900000003,44.454172,-7.186089,,,,,,,,,0.017016999999999997,,0.00389,,0.030996,,0.02358,,,20.951109,1.930362,49.155476,88.84886,-0.0,0.0,0.0,1.417291,0.8109529999999999,0.000332,-88.60296899999999,-1.34307,18.563379,1.949153,54.280252000000004,81.958013,-0.0,-0.0,-0.0,1.511874,0.838678,0.00026000000000000003,-71.05394,-1.407381,,,,,,,,,,,,,,,,,-0.0,0.0,-0.0,1.398099,0.889546,0.00025499999999999996,-51.281969000000004,-1.189502,20.275676,2.1827259999999997,42.464403000000004,80.926624,0.0,-0.0,-0.0,1.29126,0.8885290000000001,0.00023500000000000002,-5.520516000000001,-7.426842,20.579067000000002,2.068478,44.240369,78.006007,0.0,-0.0,0.0,1.466652,0.753691,0.000177,-16.350547,-0.9174,Very Unstable,Very Unstable,,Very Unstable,Very Unstable,Very Unstable
2017-05-12 12:20:00-06:00,3.139367,29.926696999999997,,3.199416,23.739217,92.213685,3.265091,28.241096000000002,,3.104466,32.35736,101.378509,3.277,26.780739,,3.200198,33.922948999999996,,3.023367,37.452543,114.805163,3.090879,35.876433,,2.8099439999999998,34.577385,119.221571,2.4374569999999998,37.788623,115.567624,0.96355,812.231396,20.713362000000018,38.674848,0.9638709999999999,808.941274,19.425989000000015,40.731749,0.960907,804.335103,18.65777700000001,44.479156,0.958508,801.044981,18.192031999999983,43.880256,-0.883484,-2.87324,-3.8875339999999996,,,,,,,-0.168918,,-0.274013,,-0.23172800000000002,,-0.191956,,,21.175494,3.132932,30.647236,94.221971,2e-06,1e-05,8e-06,1.5341,1.0037129999999999,0.000397,-119.709224,-0.994075,18.799392,3.082055,32.973928,96.16318299999999,7.000000000000001e-06,2e-06,2e-06,1.599853,1.087531,0.000349,-117.697304,-0.8496370000000001,,,,,,,,,,,,,,,,,0.0,2.2e-05,4e-06,1.521297,0.902284,0.000312,-54.406638,-1.1211870000000002,20.436977,2.785805,35.534393,112.83294699999999,-1e-06,1.2e-05,-2e-06,1.465255,0.9668979999999999,0.000368,-54.47511,-0.752637,20.671929000000002,2.61788,39.524054,116.54099699999999,1e-06,8e-06,-1e-06,1.438621,0.908875,0.000276,-16.013818,-0.9366909999999999,Very Unstable,Very Unstable,,Very Unstable,Very Unstable,Very Unstable
2017-05-12 12:30:00-06:00,2.882102,28.546932,,3.043318,31.128092,117.32483799999999,2.775343,31.264645,,2.875162,34.010703,121.859297,2.712473,28.042496999999997,,2.6539509999999997,32.427393,,2.779909,35.423966,127.87473899999999,2.588564,36.917821999999994,,2.512564,44.697001,136.514538,2.3608759999999998,49.750684,136.734871,0.9633700000000001,812.376889,20.82084100000003,34.822414,0.9634590000000001,809.086037,19.603418999999974,37.722792,0.9603290000000001,804.4788440000001,18.88558999999998,40.574199,0.957965,801.187992,18.408983999999975,40.024128000000005,-3.130439,-3.562214,-3.509314,,,-0.125594,,-0.16310999999999998,,-0.17709,,-0.12276400000000001,,-0.190328,,-0.184953,,,20.995957999999998,3.048495,32.760560999999996,117.540057,-0.0,-0.0,0.0,1.136931,0.617446,0.000177,-110.60541299999998,-1.0758969999999999,18.62412,2.874501,34.66041,121.72863899999999,0.0,0.0,0.0,1.121618,0.610226,0.000156,-67.40141,-1.4836479999999999,,,,,,,,,,,,,,,,,0.0,0.0,-0.0,1.08233,0.616151,0.000148,-20.786694,-2.93457,20.365357,2.526006,38.332432,126.53563899999999,0.0,-0.0,0.0,1.2133120000000002,0.623306,0.00014099999999999998,-32.294636,-1.2695610000000002,20.47932,2.2591799999999997,44.747596,133.866697,0.0,0.0,-0.0,1.414985,0.7520359999999999,0.000117,-43.65789,-0.34358099999999997,Very Unstable,Very Unstable,,Very Unstable,Very Unstable,Very Unstable
2017-05-12 12:40:00-06:00,2.939428,32.75314,,3.0615069999999998,27.633910999999998,129.703023,3.101036,32.46634,,3.2648099999999998,24.98236,134.887098,3.24842,24.655599,,3.179533,29.734334000000004,,3.077834,32.661549,144.266349,3.0458939999999997,36.549907,,2.708605,40.306919,144.717691,2.360059,45.229946999999996,140.42301799999998,0.9617540000000001,812.125624,21.22332899999998,28.949809000000002,0.962047,808.838375,19.94327400000003,32.836556,0.9586879999999999,804.236226,19.296929999999975,34.793153000000004,0.956155,800.948976,18.873402,35.021543,-1.386117,-3.2923169999999997,-2.283631,,,-0.173373,,-0.090084,,-0.06590399999999999,,-0.191413,,-0.12767,,-0.087687,,,21.323301,2.855434,29.91787,130.49006599999998,-0.0,-1.9e-05,-1e-06,1.7348990000000002,1.1443649999999999,0.000132,-167.16888899999998,-0.711855,18.990041,2.936068,29.531177000000003,134.68119199999998,3e-06,-1.7e-05,-0.0,1.972305,1.260213,0.000151,-139.74232,-0.715603,,,,,,,,,,,,,,,,,2e-06,-8e-06,0.0,2.299142,1.752034,0.00011999999999999999,-92.294661,-0.660927,20.647902,2.620095,35.809183000000004,142.257168,-5e-06,1e-06,-1e-06,2.036814,1.4243940000000002,0.000121,-65.738732,-0.623681,20.980303,2.1753169999999997,42.422919,143.523496,1e-06,-6e-06,-0.0,2.403141,1.263946,0.000171,-13.375767999999999,-1.1214309999999998,Very Unstable,Very Unstable,,Very Unstable,Very Unstable,Very Unstable
2017-05-12 12:50:00-06:00,2.915587,26.988014,,3.006393,26.937749,111.849015,2.659432,35.117088,,3.0954200000000003,30.012938000000002,109.00873700000001,2.812343,30.851263,,2.846459,27.873477,,3.0160099999999996,26.141779,111.988031,2.890372,27.756888,,2.708559,34.678728,110.096374,2.393218,38.542109,106.93715,0.961333,812.128186,21.353174000000024,28.249067999999998,0.9612930000000001,808.8421940000001,20.174380999999983,30.808652000000002,0.9582809999999999,804.241807,19.423242000000016,32.647811,0.9556549999999999,800.955815,19.028745000000015,33.219215999999996,,-13.410110999999999,-7.134705,,,,,0.041276,,0.024662,,-0.060801999999999995,,-0.014125,,0.011244,,,21.545948000000003,3.1273419999999996,28.953167999999998,110.808044,-0.0,-0.0,0.0,0.811053,0.532279,0.000268,-17.37965,-6.8470889999999995,19.164894,2.976691,32.044332,109.864897,0.0,-0.0,0.0,0.850973,0.547488,0.000309,-7.015664999999999,-14.253816,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.884691,0.547059,0.000291,-37.864495,-1.611008,20.94246,2.588459,30.890245,111.465,-0.0,-0.0,0.0,1.009377,0.6274609999999999,0.00041,-35.528514,-1.1540030000000001,21.293912,2.56025,37.263824,107.98062900000001,0.0,-0.0,0.0,0.957425,0.533926,0.00038500000000000003,-15.653920000000001,-0.958226,Very Unstable,Very Unstable,,Very Unstable,Very Unstable,Very Unstable
2017-05-12 13:00:00-06:00,2.725461,35.158590999999994,,2.756838,38.817073,86.702691,2.715882,36.309373,,2.918946,33.9222,81.59349300000001,3.0238490000000002,30.681856,,2.982556,25.192142999999998,,2.882348,25.077079,70.077038,2.901401,26.505575,,2.553517,39.647946999999995,66.32011700000001,2.312205,45.982774,64.34358,0.9606309999999999,811.949911,21.50376399999999,30.431611,0.960606,808.667272,20.32061600000003,32.44375,0.957624,804.071578,19.561784999999986,33.907196,0.955149,800.78894,19.12250899999998,34.36909,-2.7101599999999997,-7.483757000000001,-6.839987,,,,,,,0.20535599999999998,,0.23503000000000002,,0.198356,,0.20116099999999998,,,21.56944,2.0114009999999998,41.813152,90.826364,-1e-05,1e-06,-0.0,2.387126,1.202908,0.000103,-19.123197,-6.222809,19.20703,2.117714,37.828178,88.78145699999999,-8e-06,2e-06,-5e-06,2.472179,1.236046,0.00010700000000000001,-16.041764,-6.233728,,,,,,,,,,,,,,,,,-2.5e-05,-4e-06,9e-06,2.586411,1.385002,9.300000000000001e-05,-12.589648,-4.845251,20.932955,2.238986,27.406477000000002,71.958763,-4e-06,-5e-06,-3e-06,2.173432,1.202367,8.2e-05,-13.038491,-3.144536,21.290438,2.13404,37.02879,66.84629699999999,-4e-06,-1e-06,7.000000000000001e-06,1.939639,1.045309,9.300000000000001e-05,-23.810178,-0.629983,Very Unstable,Very Unstable,,Very Unstable,Very Unstable,Very Unstable
